trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
64,False,"{'a': 0.75, 'e': 0.570492579704632}",20,0,-33.25595928386451,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
65,False,"{'a': 0.75, 'e': 0.5655877570891539}",20,8,-42.34235936684113,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
66,False,"{'a': 0.75, 'e': 0.5607251037949696}",25,2,-101.11576535068836,"{0: 16, 1: 3, 2: 1, 3: 1, 4: 2}",1
67,False,"{'a': 0.75, 'e': 0.5559042572704036}",30,0,-212.7021481528983,"{0: 19, 1: 3, 2: 2, 3: 2, 4: 4}",0
68,False,"{'a': 0.75, 'e': 0.5511248580808259}",25,0,-137.1221262809329,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
69,False,"{'a': 0.75, 'e': 0.5463865498818542}",20,0,-67.93687067254581,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
70,False,"{'a': 0.75, 'e': 0.5416889793927848}",20,0,-6.832351533388288,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
71,False,"{'a': 0.75, 'e': 0.5370317963702527}",25,0,-15.04252934426687,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",1
72,False,"{'a': 0.75, 'e': 0.5324146535821179}",30,0,-48.9274089880077,"{0: 25, 1: 2, 2: 1, 3: 1, 4: 1}",0
73,False,"{'a': 0.75, 'e': 0.5278372067815768}",20,0,-51.748425629331074,"{0: 13, 1: 4, 2: 1, 3: 2, 4: 0}",0
74,False,"{'a': 0.75, 'e': 0.5232991146814946}",30,16,-12.07816760808291,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
75,False,"{'a': 0.75, 'e': 0.5188000389289611}",20,10,-21.445482979383907,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
76,False,"{'a': 0.75, 'e': 0.514339644080062}",20,0,-24.69222193619215,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
