trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
94,False,"{'a': 0.75, 'e': 0.7032811472592194}",20,0,-102.63124318892856,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
95,False,"{'a': 0.75, 'e': 0.7006525194588112}",25,0,-67.80983251023893,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
96,False,"{'a': 0.75, 'e': 0.6980337165828163}",20,0,-47.58692988876834,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
97,False,"{'a': 0.75, 'e': 0.6954247019089799}",20,0,-29.35142433464955,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
98,False,"{'a': 0.75, 'e': 0.6928254388523025}",30,0,-24.801580466012236,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
99,False,"{'a': 0.75, 'e': 0.6902358909645274}",25,0,-95.75535014843805,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
100,False,"{'a': 0.75, 'e': 0.6876560219336288}",20,0,-88.75122297238502,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
101,False,"{'a': 0.75, 'e': 0.6850857955833033}",20,3,-3.756330444684875,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
102,False,"{'a': 0.75, 'e': 0.682525175872462}",20,9,6.576424789738062,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.75, 'e': 0.6799741268947257}",25,12,1.680646889410185,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.75, 'e': 0.677432612877921}",25,9,-16.694682430336513,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
105,False,"{'a': 0.75, 'e': 0.674900598183579}",25,7,-114.06143244685403,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 2}",1
106,False,"{'a': 0.75, 'e': 0.6723780473064351}",20,8,12.4209259260032,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.75, 'e': 0.6698649248739317}",20,0,-2.723613008530235,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
108,False,"{'a': 0.75, 'e': 0.6673611956457217}",25,0,-62.20774472190044,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
109,False,"{'a': 0.75, 'e': 0.6648668245131746}",25,13,-30.97860059991724,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
110,False,"{'a': 0.75, 'e': 0.6623817764988841}",25,0,-116.15041000732833,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 3}",0
111,False,"{'a': 0.75, 'e': 0.6599060167561777}",30,0,-59.021343554440435,"{0: 23, 1: 4, 2: 2, 3: 0, 4: 1}",0
112,False,"{'a': 0.75, 'e': 0.6574395105686279}",20,0,-48.95282797561581,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
113,False,"{'a': 0.75, 'e': 0.6549822233495658}",20,0,-49.02594070634343,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
114,False,"{'a': 0.75, 'e': 0.6525341206415953}",20,7,-61.795142267146474,"{0: 6, 1: 0, 2: 7, 3: 0, 4: 0}",1
115,False,"{'a': 0.75, 'e': 0.6500951681161109}",20,0,-78.42615070580075,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
116,False,"{'a': 0.75, 'e': 0.6476653315728157}",20,2,-10.683539887109246,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
