trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.75, 'e': 0.9966610085520489}",30,0,-123.93313697076479,"{0: 18, 1: 5, 2: 4, 3: 2, 4: 1}",0
43,False,"{'a': 0.75, 'e': 0.9965039923921536}",20,6,-40.04649177881268,"{0: 10, 1: 1, 2: 1, 3: 2, 4: 0}",1
44,False,"{'a': 0.75, 'e': 0.996343375182389}",35,0,-194.14049695807273,"{0: 18, 1: 4, 2: 10, 3: 1, 4: 2}",0
45,False,"{'a': 0.75, 'e': 0.9961791575031747}",20,11,-61.43215274396102,"{0: 5, 1: 2, 2: 0, 3: 1, 4: 1}",1
46,False,"{'a': 0.75, 'e': 0.9960113399479413}",25,0,-91.06188095657961,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
47,False,"{'a': 0.75, 'e': 0.9958399231231286}",30,0,-192.64129638754852,"{0: 19, 1: 3, 2: 2, 3: 3, 4: 3}",0
48,False,"{'a': 0.75, 'e': 0.9956649076481825}",25,0,-163.69622719324786,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
49,False,"{'a': 0.75, 'e': 0.9954862941555535}",25,0,-202.42909508862823,"{0: 15, 1: 3, 2: 1, 3: 2, 4: 4}",0
50,False,"{'a': 0.75, 'e': 0.9953040832906943}",25,0,-137.80755003051596,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
51,False,"{'a': 0.75, 'e': 0.9951182757120571}",20,0,-138.68886563011822,"{0: 13, 1: 0, 2: 2, 3: 3, 4: 2}",0
52,False,"{'a': 0.75, 'e': 0.9949288720910919}",20,0,-133.1330398352724,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
53,False,"{'a': 0.75, 'e': 0.9947358731122432}",30,14,-2.130343499101704,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.75, 'e': 0.9945392794729483}",20,0,-179.8046795041794,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
55,False,"{'a': 0.75, 'e': 0.9943390918836342}",20,0,-81.37228451704547,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
56,False,"{'a': 0.75, 'e': 0.9941353110677157}",25,0,-56.25944708044119,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
57,False,"{'a': 0.75, 'e': 0.993927937761592}",20,0,-217.02024687867598,"{0: 9, 1: 1, 2: 4, 3: 3, 4: 3}",0
58,False,"{'a': 0.75, 'e': 0.9937169727146445}",25,0,-183.90085165476182,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
59,False,"{'a': 0.75, 'e': 0.9935024166892343}",25,0,-234.2038919560684,"{0: 12, 1: 1, 2: 6, 3: 3, 4: 3}",0
60,False,"{'a': 0.75, 'e': 0.9932842704606987}",20,14,-41.58621665814088,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
61,False,"{'a': 0.75, 'e': 0.9930625348173492}",20,0,-188.652716444676,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
