trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
175,False,"{'a': 0.75, 'e': 0.417381233235424}",25,17,6.137439226167981,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.75, 'e': 0.4153024896352695}",20,0,-26.202177296480205,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
177,False,"{'a': 0.75, 'e': 0.41323409909991793}",20,0,-24.331008834877174,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
178,False,"{'a': 0.75, 'e': 0.4111760100665161}",25,8,16.099696951994684,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.75, 'e': 0.4091281712290169}",20,7,19.227244423688404,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.75, 'e': 0.4070905315369}",25,7,-33.11530560165904,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
181,False,"{'a': 0.75, 'e': 0.4050630401938992}",35,14,9.605375003297057,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
182,False,"{'a': 0.75, 'e': 0.4030456466567364}",20,1,-69.46539977132196,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 2}",1
183,False,"{'a': 0.75, 'e': 0.4010383006338614}",20,10,17.92831360064432,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.75, 'e': 0.3990409520841981}",20,0,-103.20380254917667,"{0: 14, 1: 0, 2: 2, 3: 3, 4: 1}",0
185,False,"{'a': 0.75, 'e': 0.39705355121589725}",35,0,-52.27116142737856,"{0: 29, 1: 0, 2: 5, 3: 0, 4: 1}",0
186,False,"{'a': 0.75, 'e': 0.39507604848509503}",20,3,-12.832994091153854,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
187,False,"{'a': 0.75, 'e': 0.3931083945946781}",20,2,-31.37029567536526,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 0}",1
188,False,"{'a': 0.75, 'e': 0.39115054049305453}",20,2,-14.776090373413277,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
189,False,"{'a': 0.75, 'e': 0.3892024373729311}",30,0,-95.85832738677601,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 2}",0
190,False,"{'a': 0.75, 'e': 0.38726403667009657}",30,6,5.102612941361627,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 0}",1
191,False,"{'a': 0.75, 'e': 0.38533529006221096}",25,0,-35.40095188602276,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
192,False,"{'a': 0.75, 'e': 0.383416149467601}",20,10,-13.186514071464787,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
193,False,"{'a': 0.75, 'e': 0.38150656704406144}",30,0,-17.32603345736554,"{0: 25, 1: 0, 2: 5, 3: 0, 4: 0}",0
194,False,"{'a': 0.75, 'e': 0.37960649518766243}",20,7,8.332374501073962,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
195,False,"{'a': 0.75, 'e': 0.37771588653156285}",20,9,-4.7441909376832685,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
196,False,"{'a': 0.75, 'e': 0.3758346939448294}",20,0,0.4708532448293121,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
197,False,"{'a': 0.75, 'e': 0.3739628705312617}",30,15,-60.3771547341171,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 2}",1
198,False,"{'a': 0.75, 'e': 0.37210036962822335}",30,3,20.44208296668416,"{0: 24, 1: 2, 2: 1, 3: 0, 4: 0}",1
199,False,"{'a': 0.75, 'e': 0.37024714480547843}",25,0,-49.265545449797145,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
200,False,"{'a': 0.75, 'e': 0.3684031498640343}",30,0,-52.2428385033447,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
201,False,"{'a': 0.75, 'e': 0.3665683388349896}",20,0,-16.219570838934196,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
202,False,"{'a': 0.75, 'e': 0.36474266597838884}",25,6,-29.00626525793817,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 0}",1
203,False,"{'a': 0.75, 'e': 0.3629260857820814}",20,9,-50.02401949311382,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
204,False,"{'a': 0.75, 'e': 0.3611185529605876}",20,2,-33.67677429737412,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
